ts0,ts1,bcr1,bcr2,bcr3
1647400000.0,18693,0.015,1.399,0.0
1647400000.0,18745,0.016,1.514,0.0
1647400000.0,18808,0.016,1.492,0.0
1647400000.0,18855,0.016,1.464,0.0
1647400000.0,18904,0.016,1.514,0.0
1647400000.0,18951,0.015,1.438,0.0
1647400000.0,18998,0.016,1.469,0.0
1647400000.0,19084,0.016,1.279,0.0
1647400000.0,19137,0.016,1.524,0.0
1647400000.0,19184,0.016,1.523,0.0
1647400000.0,19231,0.016,1.464,0.0
1647400000.0,19279,0.016,1.427,0.0
1647400000.0,19326,0.016,1.426,0.0
1647400000.0,19373,0.017,1.501,0.0
1647400000.0,19420,0.016,1.518,0.0
1647400000.0,19467,0.016,1.47,0.0
1647400000.0,19514,0.016,1.345,0.0
1647400000.0,19561,0.016,1.326,0.0
1647400000.0,19607,0.016,1.444,0.0
1647400000.0,19654,0.016,1.476,0.0
1647400000.0,19701,0.016,1.249,0.0
1647400000.0,19756,0.016,1.512,0.0
1647400000.0,19803,0.016,1.446,0.0
1647400000.0,19852,0.016,1.513,0.0
1647400000.0,19898,0.016,1.26,0.0
1647400000.0,19945,0.017,1.296,0.0
1647400000.0,19992,0.017,1.015,0.0
1647400000.0,20041,0.016,1.019,0.0
1647400000.0,20087,0.016,1.507,0.0
1647400000.0,20134,0.016,0.945,0.0
1647400000.0,20181,0.016,1.297,0.0
1647400000.0,20228,0.016,1.53,0.0
1647400000.0,20275,0.016,1.518,0.0
1647400000.0,20322,0.017,1.02,0.0
1647400000.0,20425,0.016,0.818,0.0
1647400000.0,20471,0.016,1.512,0.0
1647400000.0,20518,0.016,1.507,0.0
1647400000.0,20565,0.016,1.441,0.0
1647400000.0,20612,0.016,0.885,0.0
1647400000.0,20659,0.016,1.449,0.0
1647400000.0,20705,0.016,1.505,0.0
1647400000.0,20790,0.015,1.448,0.0
1647400000.0,20837,0.015,1.462,0.0
1647400000.0,20884,0.017,1.517,0.0
1647400000.0,20931,0.016,1.513,0.0
1647400000.0,20978,0.016,1.519,0.0
1647400000.0,21025,0.016,1.333,0.0
1647400000.0,21071,0.016,1.436,0.0
1647400000.0,21118,0.017,1.52,0.0
1647400000.0,21165,0.016,1.513,0.0
1647400000.0,21212,0.016,1.425,0.0
1647400000.0,21259,0.016,1.507,0.0
1647400000.0,21306,0.016,1.507,0.0
1647400000.0,21352,0.016,1.521,0.0
1647400000.0,21399,0.016,1.494,0.0
1647400000.0,21454,0.016,1.433,0.0
1647400000.0,21501,0.016,1.339,0.0
1647400000.0,21548,0.016,1.303,0.0
1647400000.0,21594,0.016,1.486,0.0
1647400000.0,21642,0.017,1.434,0.0
1647400000.0,21688,0.017,1.345,0.0
1647400000.0,21739,0.016,1.498,0.0
1647400000.0,21786,0.016,1.026,0.0
1647400000.0,21833,0.016,1.024,0.0
1647400000.0,21880,0.016,1.503,0.0
1647400000.0,21927,0.016,1.496,0.0
1647400000.0,21973,0.016,1.529,0.0
1647400000.0,22020,0.016,1.51,0.0
1647400000.0,22109,0.016,1.527,0.0
1647400000.0,22156,0.016,1.527,0.0
1647400000.0,22203,0.017,1.017,0.0
1647400000.0,22250,0.016,1.014,0.0
1647400000.0,22297,0.016,1.502,0.0
1647400000.0,22344,0.016,1.018,0.0
1647400000.0,22391,0.016,1.387,0.0
1647400000.0,22492,0.016,1.524,0.0
1647400000.0,22539,0.016,1.5,0.0
1647400000.0,22586,0.016,1.508,0.0
1647400000.0,22633,0.016,1.523,0.0
1647400000.0,22680,0.016,1.499,0.0
1647400000.0,22727,0.016,1.505,0.0
1647400000.0,22775,0.016,1.445,0.0
1647400000.0,22822,0.016,1.337,0.0
1647400000.0,22869,0.015,1.465,0.0
1647400000.0,22916,0.017,1.543,0.0
1647400000.0,22963,0.016,1.513,0.0
1647400000.0,23010,0.015,1.514,0.0
1647400000.0,23056,0.016,1.508,0.0
1647400000.0,23154,0.016,1.575,0.0
1647400000.0,23201,0.016,1.516,0.0
1647400000.0,23248,0.016,1.511,0.0
1647400000.0,23294,0.016,1.399,0.0
1647400000.0,23343,0.016,1.512,0.0
1647400000.0,23389,0.016,1.444,0.0
1647400000.0,23439,0.016,1.033,0.0
1647400000.0,23510,0.016,1.444,0.0
1647400000.0,23557,0.015,1.415,0.0
1647400000.0,23604,0.016,1.476,0.0
1647400000.0,23651,0.015,1.508,0.0
1647400000.0,23698,0.016,1.509,0.0
1647400000.0,23782,0.016,0.944,0.0
1647400000.0,23828,0.016,1.44,0.0
1647400000.0,23877,0.016,1.506,0.0
1647400000.0,23924,0.016,1.267,0.0
1647400000.0,23971,0.016,1.338,0.0
1647400000.0,24018,0.016,1.52,0.0
1647400000.0,24065,0.016,1.51,0.0
1647400000.0,24157,0.016,1.539,0.0
1647400000.0,24204,0.016,1.523,0.0
1647400000.0,24251,0.016,1.469,0.0
1647400000.0,24298,0.016,1.519,0.0
1647400000.0,24345,0.017,1.517,0.0
1647400000.0,24392,0.016,1.447,0.0
1647400000.0,24445,0.016,1.517,0.0
1647400000.0,24494,0.016,1.513,0.0
1647400000.0,24541,0.016,1.026,0.0
1647400000.0,24587,0.016,1.52,0.0
